"","x"
"1",0.417019004184425
"2",0.100073830550213
"3",0.151993586738874
"4",0.45448389257838
"5",0.51315222627072
"6",0.43652590923141
"7",0.470819585060172
"8",0.162520007880939
"9",0.14611192502288
"10",0.358761068362524
"11",0.343648580375005
"12",0.235861492529068
"13",0.16844020755643
"14",0.277927146618976
"15",0.413658387121518
"16",0.374712273337404
"17",0.450472148420373
"18",0.175980172503027
"19",0.489190704089626
"20",0.331258641035171
"21",0.36454423711706
"22",0.231938024344011
"23",0.668354694694722
"24",0.456577985136387
"25",0.21268742666968
"26",0.106060733162719
"27",0.342543161176664
"28",0.456504460751249
"29",0.318467098385142
"30",0.151948865810813
"31",0.43104851186352
"32",0.123903160835444
"33",0.445751179546741
"34",0.330864349716314
"35",0.162336167633068
"36",0.176014203899876
"37",0.415049046322693
"38",0.142126974293997
"39",0.755060839796051
"40",0.790650888755695
"41",0.307007155232557
"42",0.173152102346145
"43",0.374291101213019
"44",0.290258807598063
"45",0.371671860883303
"46",0.19290046627295
"47",0.455386078418431
"48",0.472099755377853
"49",0.501076914088506
"50",0.507711596042095
"51",0.323365094805042
"52",0.174306609331485
"53",0.546587019154155
"54",0.131787582102361
"55",0.407007360862299
"56",0.299952127451476
"57",0.290476148462325
"58",0.280823241424775
"59",0.164423563946334
"60",0.351556543539005
"61",0.677016123059425
"62",0.159573681601543
"63",0.227470161963913
"64",0.526706785880907
"65",0.295212956816071
"66",0.444223495510593
"67",0.271927944896681
"68",0.197221913740228
"69",0.608845863683934
"70",0.134427172722623
"71",0.701372078480264
"72",0.389494248429065
"73",0.461057232200586
"74",0.449026429771313
"75",0.152032240945953
"76",0.483056991458861
"77",0.489730982629539
"78",0.45316132430264
"79",0.53100440727171
"80",0.471291741996565
"81",0.56135710190687
"82",0.663889386839979
"83",0.471388028029716
"84",0.272866604942477
"85",0.187965380108413
"86",0.384931156524468
"87",0.185223291375743
"88",0.115446994433289
"89",0.661414978322285
"90",0.46231226487306
"91",0.494331759526647
"92",0.304835955261463
"93",0.229900970272618
"94",0.175634789601683
"95",0.698870030243167
"96",0.210152012443631
"97",0.146416757437466
"98",0.509024604811595
"99",0.1344726889142
"100",0.375539016278033
"101",0.320541150983331
"102",0.491305168133395
"103",0.352759986839675
"104",0.27237207966633
"105",0.342716328534205
