sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,60,0.07,60,38,2280,0.012017556316888948,0.0,102
0,80,0.07,60,38,2280,0.06331628942254067,0.015,122
0,0,0.07,60,38,2280,0.0008131380944018261,0.0,42
0,100,0.07,60,38,2280,0.0027605471399318625,0.0,142
0,81,0.07,60,38,2280,1.339715935365189e-05,0.0,123
0,40,0.07,60,38,2280,0.012816899711884848,0.004,82
0,101,0.07,60,38,2280,0.4638535853375118,0.079,143
0,61,0.07,60,38,2280,1.766741493819788e-06,0.0,103
0,1,0.07,60,38,2280,0.0034688456061332125,0.0,43
0,41,0.07,60,38,2280,4.4544155012887943e-13,0.0,83
0,62,0.07,60,38,2280,0.000613821970004083,0.0,104
0,102,0.07,60,38,2280,0.00013021669004424454,0.0,144
0,82,0.07,60,38,2280,0.12290390289843045,0.049,124
0,42,0.07,60,38,2280,2.7944095585948742e-06,0.0,84
0,83,0.07,60,38,2280,5.591536681183899e-06,0.0,125
0,63,0.07,60,38,2280,0.04809024032117042,0.049,105
0,103,0.07,60,38,2280,0.04741792502743007,0.026,145
0,2,0.07,60,38,2280,0.013536609691147733,0.0,44
0,64,0.07,60,38,2280,0.007023485708682908,0.0,106
0,104,0.07,60,38,2280,7.892526339936728e-07,0.0,146
0,43,0.07,60,38,2280,6.922837646150933e-06,0.0,85
0,84,0.07,60,38,2280,8.847871690355279e-05,0.0,126
0,3,0.07,60,38,2280,0.017863165053017237,0.014,45
0,105,0.07,60,38,2280,0.004675773510349269,0.0,147
0,85,0.07,60,38,2280,6.441433435432491e-06,0.0,127
0,65,0.07,60,38,2280,0.5673756142473798,0.149,107
0,4,0.07,60,38,2280,0.0012576615619305641,0.0,46
0,44,0.07,60,38,2280,0.010449967570207714,0.0,86
0,106,0.07,60,38,2280,0.00013843070487265058,0.0,148
0,86,0.07,60,38,2280,0.0017712598029855492,0.0,128
0,5,0.07,60,38,2280,0.00037548721584177894,0.0,47
0,66,0.07,60,38,2280,0.0022292231651806697,0.0,108
0,45,0.07,60,38,2280,0.11877931435654854,0.022,87
0,107,0.07,60,38,2280,0.013102349749547952,0.005,149
0,6,0.07,60,38,2280,0.007785186232645532,0.004,48
0,87,0.07,60,38,2280,0.0018293346428827524,0.0,129
0,46,0.07,60,38,2280,0.061784112317724245,0.015,88
0,88,0.07,60,38,2280,0.03523344949994282,0.002,130
0,67,0.07,60,38,2280,0.05556869243752823,0.002,109
0,108,0.07,60,38,2280,0.007122402748933016,0.001,150
0,89,0.07,60,38,2280,0.007974273847701685,0.0,131
0,7,0.07,60,38,2280,5.8039683515242565e-05,0.0,49
0,109,0.07,60,38,2280,2.313676268667741e-06,0.0,151
0,68,0.07,60,38,2280,2.5703174824906246e-06,0.0,110
0,47,0.07,60,38,2280,0.10256909129992459,0.042,89
0,90,0.07,60,38,2280,1.7896497676428256e-05,0.0,132
0,8,0.07,60,38,2280,0.6572671941909903,0.473,50
0,48,0.07,60,38,2280,0.033235735718091325,0.0,90
0,110,0.07,60,38,2280,5.9173637834000356e-05,0.0,152
0,91,0.07,60,38,2280,0.11039496914677904,0.104,133
0,9,0.07,60,38,2280,0.3603275697193167,0.225,51
0,49,0.07,60,38,2280,0.0023759871921495493,0.0,91
0,69,0.07,60,38,2280,0.0020438287884297058,0.0,111
0,111,0.07,60,38,2280,0.013164783528976312,0.002,153
0,92,0.07,60,38,2280,8.353908976324279e-08,0.0,134
0,10,0.07,60,38,2280,0.014109829676566765,0.001,52
0,50,0.07,60,38,2280,8.134458391166179e-05,0.0,92
0,70,0.07,60,38,2280,5.661565464635249e-06,0.0,112
0,112,0.07,60,38,2280,4.942819436418104e-06,0.0,154
0,51,0.07,60,38,2280,0.18791550396314533,0.189,93
0,93,0.07,60,38,2280,2.1092328467022215e-05,0.0,135
0,11,0.07,60,38,2280,0.006302054598847491,0.0,53
0,113,0.07,60,38,2280,2.663258933591912e-05,0.0,155
0,71,0.07,60,38,2280,0.051283760828614765,0.011,113
0,52,0.07,60,38,2280,0.02942616600682663,0.004,94
0,12,0.07,60,38,2280,1.4051895067424585e-05,0.0,54
0,94,0.07,60,38,2280,0.06253729073478542,0.002,136
0,72,0.07,60,38,2280,7.869467264645255e-05,0.0,114
0,13,0.07,60,38,2280,0.00043021963921566377,0.0,55
0,114,0.07,60,38,2280,0.0003089018442784987,0.0,156
0,95,0.07,60,38,2280,7.793079703057872e-06,0.0,137
0,73,0.07,60,38,2280,0.0008845818043072157,0.0,115
0,14,0.07,60,38,2280,0.0016462482238924793,0.0,56
0,53,0.07,60,38,2280,0.15358416378191775,0.07,95
0,115,0.07,60,38,2280,7.674011792097444e-06,0.0,157
0,20,0.07,60,38,2280,0.0049922993859442205,0.0,62
0,54,0.07,60,38,2280,4.019226904808339e-05,0.0,96
0,116,0.07,60,38,2280,0.005915431680045073,0.0,158
0,96,0.07,60,38,2280,0.00022837651467266353,0.0,138
0,21,0.07,60,38,2280,0.0010920554442163935,0.0,63
0,74,0.07,60,38,2280,4.0536228377167064e-05,0.0,116
0,15,0.07,60,38,2280,1.1600396754139673e-05,0.0,57
0,55,0.07,60,38,2280,6.659554245040605e-05,0.0,97
0,97,0.07,60,38,2280,0.009143365415134866,0.0,139
0,117,0.07,60,38,2280,0.04242094900644995,0.005,159
0,22,0.07,60,38,2280,0.1050208148086515,0.004,64
0,16,0.07,60,38,2280,0.00337710834263419,0.0,58
0,75,0.07,60,38,2280,0.0009822190485017624,0.001,117
0,56,0.07,60,38,2280,1.8342434939321635e-10,0.0,98
0,118,0.07,60,38,2280,6.4256911119059515e-06,0.0,160
0,98,0.07,60,38,2280,0.13991709633384947,0.17,140
0,23,0.07,60,38,2280,4.7540818346550134e-08,0.0,65
0,76,0.07,60,38,2280,0.0006030254463701189,0.0,118
0,119,0.07,60,38,2280,0.006662497916625069,0.002,161
0,17,0.07,60,38,2280,0.03203940289776207,0.002,59
0,57,0.07,60,38,2280,0.004966341819108628,0.0,99
0,24,0.07,60,38,2280,2.86941855335714e-05,0.0,66
0,77,0.07,60,38,2280,2.829826577369331e-08,0.0,119
0,18,0.07,60,38,2280,0.00010550551177442975,0.0,60
0,78,0.07,60,38,2280,0.0016897831523787704,0.0,120
0,58,0.07,60,38,2280,0.011634200935722379,0.0,100
0,99,0.07,60,38,2280,1.8473242039506968e-05,0.0,141
0,19,0.07,60,38,2280,2.1356559416723563e-05,0.0,61
0,25,0.07,60,38,2280,4.1596453945311155e-08,0.0,67
0,79,0.07,60,38,2280,0.00012977329542265194,0.0,121
0,59,0.07,60,38,2280,0.054767072770953426,0.014,101
0,26,0.07,60,38,2280,3.9239585568308376e-05,0.0,68
0,27,0.07,60,38,2280,0.000566872532674685,0.001,69
0,28,0.07,60,38,2280,0.05338694255347226,0.006,70
0,29,0.07,60,38,2280,0.06743690421177723,0.002,71
0,30,0.07,60,38,2280,0.1915246772953938,0.19,72
0,31,0.07,60,38,2280,0.0006720555532191661,0.0,73
0,32,0.07,60,38,2280,1.4686692984525877e-05,0.0,74
0,33,0.07,60,38,2280,8.65479628625096e-05,0.0,75
0,34,0.07,60,38,2280,0.04651921315588844,0.002,76
0,35,0.07,60,38,2280,0.3204909239522743,0.046,77
0,36,0.07,60,38,2280,0.023663230383272088,0.001,78
0,37,0.07,60,38,2280,0.00026961872854853086,0.0,79
0,38,0.07,60,38,2280,2.9072481814378492e-08,0.0,80
0,39,0.07,60,38,2280,0.14591569490447098,0.019,81
