power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,20,0.07,54,38,2052,0.0126551734182931,0.007,62
0,0,40,0.07,54,38,2052,0.0005804402052329,0.001,82
0,0,100,0.07,54,38,2052,0.0008081555549593,0.0,142
0,0,60,0.07,54,38,2052,0.0003440059280894,0.0,102
0,0,21,0.07,54,38,2052,0.025404372146333,0.022,63
0,0,0,0.07,54,38,2052,0.076919857247159,0.061,42
0,0,41,0.07,54,38,2052,0.0001390716728886,0.0,83
0,0,80,0.07,54,38,2052,0.0005283904880691,0.0,122
0,0,1,0.07,54,38,2052,0.000226222657785,0.0,43
0,0,61,0.07,54,38,2052,0.1915421544003152,0.217,103
0,0,101,0.07,54,38,2052,0.0007101672000757,0.002,143
0,0,81,0.07,54,38,2052,0.0027921879935446,0.002,123
0,0,22,0.07,54,38,2052,0.0597818995667962,0.029,64
0,0,42,0.07,54,38,2052,0.0007262044087653,0.0,84
0,0,2,0.07,54,38,2052,6.103854579724429e-06,0.0,44
0,0,62,0.07,54,38,2052,0.1423478356268451,0.104,104
0,0,23,0.07,54,38,2052,0.0001177578796912,0.0,65
0,0,82,0.07,54,38,2052,0.0004547765092277,0.0,124
0,0,102,0.07,54,38,2052,0.00022331339316,0.0,144
0,0,83,0.07,54,38,2052,0.0129353706718308,0.004,125
0,0,63,0.07,54,38,2052,0.0077402804995455,0.003,105
0,0,3,0.07,54,38,2052,0.0001114783503407,0.0,45
0,0,24,0.07,54,38,2052,8.503115952974968e-07,0.0,66
0,0,43,0.07,54,38,2052,0.299366714028022,0.326,85
0,0,103,0.07,54,38,2052,0.0613262118957365,0.04,145
0,0,44,0.07,54,38,2052,0.0002957123935688,0.0,86
0,0,25,0.07,54,38,2052,0.0066126257336025,0.002,67
0,0,104,0.07,54,38,2052,6.460890679097139e-07,0.0,146
0,0,84,0.07,54,38,2052,2.536515995563427e-06,0.0,126
0,0,4,0.07,54,38,2052,0.0033368254786138,0.0,46
0,0,85,0.07,54,38,2052,0.0004112053384255,0.0,127
0,0,45,0.07,54,38,2052,2.4772055470227064e-05,0.0,87
0,0,5,0.07,54,38,2052,2.666737335252176e-05,0.0,47
0,0,64,0.07,54,38,2052,7.0870659721578e-08,0.0,106
0,0,86,0.07,54,38,2052,0.0051231229987012,0.002,128
0,0,105,0.07,54,38,2052,0.0247152948375505,0.025,147
0,0,26,0.07,54,38,2052,0.0004884356351612,0.0,68
0,0,65,0.07,54,38,2052,2.034684822287986e-05,0.0,107
0,0,46,0.07,54,38,2052,0.0043388647146645,0.0,88
0,0,6,0.07,54,38,2052,0.0256678102684896,0.011,48
