power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0,0.055,80,38,3040,0.1641103311989203,0.025,42
0,0,334,0.055,80,38,3040,1.2918398306310318e-07,0.0,376
0,0,668,0.055,80,38,3040,0.0080803021527748,0.003,710
0,0,1001,0.055,80,38,3040,0.0702381854580816,0.004,1043
0,0,1,0.055,80,38,3040,0.0001974763238562,0.0,43
0,0,335,0.055,80,38,3040,1.6364667222326222e-05,0.0,377
0,0,1334,0.055,80,38,3040,9.931985261120787e-05,0.0,1376
0,0,1667,0.055,80,38,3040,2.4383327562940765e-06,0.0,1709
0,0,669,0.055,80,38,3040,0.0482846052693629,0.02,711
0,0,1002,0.055,80,38,3040,1.958291560718221e-07,0.0,1044
0,0,2,0.055,80,38,3040,0.005647197445904,0.0,44
0,0,336,0.055,80,38,3040,8.645319298701774e-05,0.0,378
0,0,1335,0.055,80,38,3040,6.750023081161e-06,0.0,1377
0,0,1668,0.055,80,38,3040,0.0067896449188827,0.008,1710
0,0,670,0.055,80,38,3040,0.0030827871796037,0.0,712
0,0,1003,0.055,80,38,3040,6.836606578391317e-06,0.0,1045
0,0,3,0.055,80,38,3040,0.0649164504461821,0.04,45
0,0,337,0.055,80,38,3040,6.450207194702368e-05,0.0,379
0,0,1336,0.055,80,38,3040,0.0022492394386775,0.0,1378
0,0,1669,0.055,80,38,3040,0.0054933195756425,0.0,1711
0,0,671,0.055,80,38,3040,9.430603824784672e-09,0.0,713
0,0,1004,0.055,80,38,3040,7.198305501199395e-05,0.0,1046
0,0,4,0.055,80,38,3040,0.0028314385127342,0.0,46
0,0,338,0.055,80,38,3040,0.0673069214678038,0.126,380
0,0,1337,0.055,80,38,3040,0.2569344082596619,0.115,1379
0,0,1670,0.055,80,38,3040,0.0115705406124496,0.01,1712
0,0,672,0.055,80,38,3040,0.0052750201417884,0.001,714
0,0,1005,0.055,80,38,3040,0.0009946467024816,0.0,1047
0,0,339,0.055,80,38,3040,7.481049032295604e-08,0.0,381
0,0,1338,0.055,80,38,3040,0.0014871476826663,0.001,1380
0,0,5,0.055,80,38,3040,3.5343059446021304e-05,0.0,47
0,0,1671,0.055,80,38,3040,1.7813453562292578e-10,0.0,1713
0,0,673,0.055,80,38,3040,7.462727692959811e-05,0.0,715
0,0,1006,0.055,80,38,3040,2.2651001143065987e-07,0.0,1048
0,0,340,0.055,80,38,3040,9.76743677760585e-06,0.0,382
0,0,1339,0.055,80,38,3040,0.055413670564515,0.033,1381
0,0,6,0.055,80,38,3040,0.030157615346739,0.009,48
0,0,1672,0.055,80,38,3040,0.0075735455801772,0.003,1714
0,0,674,0.055,80,38,3040,0.0005962867760219,0.003,716
0,0,1007,0.055,80,38,3040,0.0003807009468842,0.0,1049
0,0,341,0.055,80,38,3040,0.1542323268525265,0.132,383
0,0,1340,0.055,80,38,3040,1.7623728779848197e-11,0.0,1382
0,0,7,0.055,80,38,3040,0.0020827647124094,0.0,49
0,0,1673,0.055,80,38,3040,0.206924715741664,0.22,1715
0,0,675,0.055,80,38,3040,0.0005515867013538,0.0,717
0,0,1008,0.055,80,38,3040,0.0021209663459531,0.01,1050
0,0,342,0.055,80,38,3040,0.3113545109280898,0.494,384
0,0,1341,0.055,80,38,3040,2.460894097174173e-06,0.0,1383
