power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,334,0.04,38,38,1444,0.001380138598122,0.0,376
0,0,167,0.04,38,38,1444,0.0677609979041488,0.023,209
0,0,501,0.04,38,38,1444,0.0074789421051449,0.001,543
0,0,668,0.04,38,38,1444,0.1212159679991506,0.066,710
0,0,0,0.04,38,38,1444,0.0174708663610385,0.0,42
0,0,834,0.04,38,38,1444,0.0001056039190086,0.0,876
0,0,335,0.04,38,38,1444,0.0860218790996936,0.028,377
0,0,1,0.04,38,38,1444,0.0025416107650075,0.0,43
0,0,502,0.04,38,38,1444,0.2276864877072503,0.174,544
0,0,336,0.04,38,38,1444,0.0081327569839038,0.001,378
0,0,168,0.04,38,38,1444,0.0002020948627128,0.0,210
0,0,669,0.04,38,38,1444,0.0106226072639759,0.0,711
0,0,835,0.04,38,38,1444,0.0081493712533382,0.0,877
0,0,503,0.04,38,38,1444,0.0005491660014128,0.0,545
0,0,337,0.04,38,38,1444,0.0283673156442124,0.006,379
0,0,169,0.04,38,38,1444,0.00345454723468,0.0,211
0,0,2,0.04,38,38,1444,0.0028587194650294,0.001,44
0,0,504,0.04,38,38,1444,0.0257442066962096,0.005,546
0,0,836,0.04,38,38,1444,0.0047170257709245,0.0,878
0,0,170,0.04,38,38,1444,0.01352576168273,0.001,212
0,0,338,0.04,38,38,1444,0.1331619833874249,0.062,380
0,0,670,0.04,38,38,1444,0.0381340327034338,0.005,712
0,0,171,0.04,38,38,1444,0.0089289547431854,0.0,213
0,0,3,0.04,38,38,1444,0.0011099655071742,0.0,45
0,0,837,0.04,38,38,1444,0.0675728815776188,0.018,879
0,0,505,0.04,38,38,1444,0.0001188225225384,0.0,547
0,0,339,0.04,38,38,1444,0.0322023832312898,0.007,381
0,0,172,0.04,38,38,1444,0.1148796584835967,0.064,214
0,0,4,0.04,38,38,1444,0.0001900897130562,0.0,46
0,0,671,0.04,38,38,1444,0.0001186949596048,0.0,713
0,0,838,0.04,38,38,1444,0.0008647911055103,0.0,880
0,0,506,0.04,38,38,1444,0.0625459687644463,0.033,548
0,0,340,0.04,38,38,1444,0.0007132615322934,0.0,382
0,0,5,0.04,38,38,1444,0.0114000047880605,0.001,47
0,0,672,0.04,38,38,1444,0.0059953179342109,0.0,714
0,0,173,0.04,38,38,1444,0.0008946595433624,0.0,215
0,0,839,0.04,38,38,1444,0.0393668925941186,0.007,881
0,0,341,0.04,38,38,1444,0.172229869009208,0.114,383
0,0,6,0.04,38,38,1444,6.482530800572123e-06,0.0,48
0,0,507,0.04,38,38,1444,0.0104660018236605,0.0,549
0,0,673,0.04,38,38,1444,2.1770045749394167e-06,0.0,715
0,0,174,0.04,38,38,1444,0.0313523820518444,0.012,216
0,0,342,0.04,38,38,1444,0.0596965951055251,0.015,384
0,0,840,0.04,38,38,1444,0.0814332094199403,0.03,882
0,0,508,0.04,38,38,1444,0.003482687749327,0.0,550
0,0,175,0.04,38,38,1444,0.0010197680491144,0.0,217
