power_id,sim_id,trial_id,p_diff,n_raters,scores_per_r,total_scores,propz_pval,bht_pval,seed
0,0,0,0.055,40,38,1520,0.3606124120817791,0.081,442
0,0,184,0.055,40,38,1520,0.0348440687254619,0.018,626
0,0,551,0.055,40,38,1520,0.0173523923222823,0.001,993
0,0,734,0.055,40,38,1520,0.1005522604963193,0.122,1176
0,0,368,0.055,40,38,1520,0.0227898865529212,0.009,810
0,0,917,0.055,40,38,1520,0.2110836857363817,0.026,1359
0,0,1,0.055,40,38,1520,0.0034879246227172,0.001,443
0,0,185,0.055,40,38,1520,0.0016620212765504,0.0,627
0,0,552,0.055,40,38,1520,0.265410726432537,0.201,994
0,0,918,0.055,40,38,1520,0.0243619292290291,0.005,1360
0,0,735,0.055,40,38,1520,0.0852312023583703,0.047,1177
0,0,186,0.055,40,38,1520,0.0109913550203305,0.004,628
0,0,2,0.055,40,38,1520,0.0001671296193823,0.0,444
0,0,369,0.055,40,38,1520,0.0008124009530746,0.0,811
0,0,919,0.055,40,38,1520,0.0056447965624879,0.002,1361
0,0,553,0.055,40,38,1520,0.0164489394080125,0.013,995
0,0,3,0.055,40,38,1520,0.1652146071281145,0.082,445
0,0,187,0.055,40,38,1520,0.1217049078948662,0.008,629
0,0,4,0.055,40,38,1520,0.0410374126543941,0.011,446
0,0,736,0.055,40,38,1520,0.0134034296754712,0.009,1178
0,0,554,0.055,40,38,1520,1.914735824130168e-06,0.0,996
0,0,920,0.055,40,38,1520,0.0138214678919447,0.0,1362
0,0,370,0.055,40,38,1520,0.1310431053020034,0.041,812
0,0,921,0.055,40,38,1520,0.0847059865656457,0.08,1363
0,0,555,0.055,40,38,1520,0.1863582099434239,0.139,997
0,0,188,0.055,40,38,1520,0.0071026911347779,0.0,630
0,0,737,0.055,40,38,1520,0.0284432407301783,0.001,1179
0,0,5,0.055,40,38,1520,0.0474025465817888,0.012,447
0,0,556,0.055,40,38,1520,0.0616083601546273,0.021,998
0,0,6,0.055,40,38,1520,0.920112447217614,0.839,448
0,0,922,0.055,40,38,1520,0.0055636389881396,0.001,1364
0,0,371,0.055,40,38,1520,0.0127910486615229,0.011,813
0,0,189,0.055,40,38,1520,0.0001423844489735,0.0,631
0,0,557,0.055,40,38,1520,0.0043439334699361,0.002,999
0,0,372,0.055,40,38,1520,0.0197983822378899,0.044,814
0,0,558,0.055,40,38,1520,0.0079246236206802,0.0,1000
0,0,7,0.055,40,38,1520,0.0001434745380744,0.0,449
0,0,190,0.055,40,38,1520,0.3013080311316006,0.239,632
0,0,923,0.055,40,38,1520,0.0278674874525436,0.003,1365
0,0,559,0.055,40,38,1520,0.2507664012170653,0.161,1001
0,0,738,0.055,40,38,1520,0.0011077016400022,0.0,1180
0,0,924,0.055,40,38,1520,0.137254643294632,0.005,1366
0,0,373,0.055,40,38,1520,0.5338588013651399,0.707,815
0,0,8,0.055,40,38,1520,0.1054281735214441,0.048,450
0,0,560,0.055,40,38,1520,5.299320908998231e-05,0.0,1002
0,0,191,0.055,40,38,1520,0.1584794247519063,0.106,633
0,0,739,0.055,40,38,1520,0.1911364073326591,0.058,1181
0,0,925,0.055,40,38,1520,0.7527904560712666,0.353,1367
0,0,9,0.055,40,38,1520,0.0001030077682909,0.0,451
0,0,374,0.055,40,38,1520,0.0115966499518142,0.002,816
0,0,192,0.055,40,38,1520,0.0384193550908323,0.011,634
0,0,561,0.055,40,38,1520,0.2416576579598437,0.289,1003
0,0,740,0.055,40,38,1520,0.2068581701675965,0.308,1182
0,0,10,0.055,40,38,1520,0.0063968570961016,0.0,452
0,0,375,0.055,40,38,1520,0.0257935493594498,0.021,817
0,0,741,0.055,40,38,1520,0.2483233518793176,0.099,1183
0,0,926,0.055,40,38,1520,0.0294695980709379,0.009,1368
0,0,193,0.055,40,38,1520,0.0328803103805211,0.032,635
0,0,562,0.055,40,38,1520,0.0008374560991593,0.0,1004
0,0,11,0.055,40,38,1520,0.0123994315780214,0.0,453
0,0,376,0.055,40,38,1520,0.067041849442128,0.036,818
0,0,742,0.055,40,38,1520,0.0475152848649422,0.069,1184
0,0,563,0.055,40,38,1520,0.0044132197350915,0.001,1005
0,0,743,0.055,40,38,1520,0.0271232912847189,0.006,1185
0,0,194,0.055,40,38,1520,0.5418825694075552,0.563,636
0,0,12,0.055,40,38,1520,0.0056846274239414,0.0,454
0,0,377,0.055,40,38,1520,0.001302350695898,0.0,819
0,0,927,0.055,40,38,1520,0.0234445865920753,0.005,1369
0,0,744,0.055,40,38,1520,0.1172194903396782,0.139,1186
0,0,195,0.055,40,38,1520,0.4271883426647508,0.306,637
0,0,564,0.055,40,38,1520,0.0975024260042266,0.224,1006
0,0,378,0.055,40,38,1520,0.0938068718761437,0.019,820
0,0,928,0.055,40,38,1520,0.3582848241281782,0.103,1370
0,0,13,0.055,40,38,1520,0.0380283070169335,0.019,455
0,0,745,0.055,40,38,1520,0.0139907307585108,0.013,1187
0,0,196,0.055,40,38,1520,0.0714253970130512,0.024,638
0,0,929,0.055,40,38,1520,0.5033912862205165,0.455,1371
